programa,threads,rep,tempo_s,maquina
laplace2d_1loop_gcc_i500,15,3,3.175951,Intel(R) Xeon(R) Gold 6252 CPU @ 2.10GHz (48 nucleos fisicos)
laplace2d_1loop_gcc_i500,16,1,3.114669,Intel(R) Xeon(R) Gold 6252 CPU @ 2.10GHz (48 nucleos fisicos)
laplace2d_1loop_gcc_i500,16,2,3.111140,Intel(R) Xeon(R) Gold 6252 CPU @ 2.10GHz (48 nucleos fisicos)
laplace2d_1loop_gcc_i500,16,3,2.987465,Intel(R) Xeon(R) Gold 6252 CPU @ 2.10GHz (48 nucleos fisicos)
laplace2d_1loop_gcc_i500,17,1,2.900236,Intel(R) Xeon(R) Gold 6252 CPU @ 2.10GHz (48 nucleos fisicos)
laplace2d_1loop_gcc_i500,17,2,2.924123,Intel(R) Xeon(R) Gold 6252 CPU @ 2.10GHz (48 nucleos fisicos)
laplace2d_1loop_gcc_i500,17,3,2.908884,Intel(R) Xeon(R) Gold 6252 CPU @ 2.10GHz (48 nucleos fisicos)
laplace2d_1loop_gcc_i500,18,1,2.801440,Intel(R) Xeon(R) Gold 6252 CPU @ 2.10GHz (48 nucleos fisicos)
laplace2d_1loop_gcc_i500,18,2,2.828740,Intel(R) Xeon(R) Gold 6252 CPU @ 2.10GHz (48 nucleos fisicos)
laplace2d_1loop_gcc_i500,18,3,2.833248,Intel(R) Xeon(R) Gold 6252 CPU @ 2.10GHz (48 nucleos fisicos)
laplace2d_1loop_gcc_i500,19,1,2.740244,Intel(R) Xeon(R) Gold 6252 CPU @ 2.10GHz (48 nucleos fisicos)
laplace2d_1loop_gcc_i500,19,2,2.757906,Intel(R) Xeon(R) Gold 6252 CPU @ 2.10GHz (48 nucleos fisicos)
laplace2d_1loop_gcc_i500,19,3,2.738742,Intel(R) Xeon(R) Gold 6252 CPU @ 2.10GHz (48 nucleos fisicos)
laplace2d_1loop_gcc_i500,20,1,2.710237,Intel(R) Xeon(R) Gold 6252 CPU @ 2.10GHz (48 nucleos fisicos)
laplace2d_1loop_gcc_i500,20,2,2.690503,Intel(R) Xeon(R) Gold 6252 CPU @ 2.10GHz (48 nucleos fisicos)
laplace2d_1loop_gcc_i500,20,3,2.776624,Intel(R) Xeon(R) Gold 6252 CPU @ 2.10GHz (48 nucleos fisicos)
laplace2d_1loop_gcc_i500,21,1,2.604208,Intel(R) Xeon(R) Gold 6252 CPU @ 2.10GHz (48 nucleos fisicos)
laplace2d_1loop_gcc_i500,21,2,2.627695,Intel(R) Xeon(R) Gold 6252 CPU @ 2.10GHz (48 nucleos fisicos)
laplace2d_1loop_gcc_i500,21,3,2.597469,Intel(R) Xeon(R) Gold 6252 CPU @ 2.10GHz (48 nucleos fisicos)
laplace2d_1loop_gcc_i500,22,1,2.573077,Intel(R) Xeon(R) Gold 6252 CPU @ 2.10GHz (48 nucleos fisicos)
laplace2d_1loop_gcc_i500,22,2,2.574008,Intel(R) Xeon(R) Gold 6252 CPU @ 2.10GHz (48 nucleos fisicos)
laplace2d_1loop_gcc_i500,22,3,2.684008,Intel(R) Xeon(R) Gold 6252 CPU @ 2.10GHz (48 nucleos fisicos)
laplace2d_1loop_gcc_i500,23,1,2.619544,Intel(R) Xeon(R) Gold 6252 CPU @ 2.10GHz (48 nucleos fisicos)
laplace2d_1loop_gcc_i500,23,2,2.559149,Intel(R) Xeon(R) Gold 6252 CPU @ 2.10GHz (48 nucleos fisicos)
laplace2d_1loop_gcc_i500,23,3,2.674288,Intel(R) Xeon(R) Gold 6252 CPU @ 2.10GHz (48 nucleos fisicos)
laplace2d_1loop_gcc_i500,24,1,2.504485,Intel(R) Xeon(R) Gold 6252 CPU @ 2.10GHz (48 nucleos fisicos)
laplace2d_1loop_gcc_i500,24,2,2.582621,Intel(R) Xeon(R) Gold 6252 CPU @ 2.10GHz (48 nucleos fisicos)
laplace2d_1loop_gcc_i500,24,3,2.522865,Intel(R) Xeon(R) Gold 6252 CPU @ 2.10GHz (48 nucleos fisicos)
laplace2d_1loop_gcc_i500,25,1,2.536223,Intel(R) Xeon(R) Gold 6252 CPU @ 2.10GHz (48 nucleos fisicos)
laplace2d_1loop_gcc_i500,25,2,2.523664,Intel(R) Xeon(R) Gold 6252 CPU @ 2.10GHz (48 nucleos fisicos)
laplace2d_1loop_gcc_i500,25,3,2.505351,Intel(R) Xeon(R) Gold 6252 CPU @ 2.10GHz (48 nucleos fisicos)
laplace2d_1loop_gcc_i500,26,1,2.477699,Intel(R) Xeon(R) Gold 6252 CPU @ 2.10GHz (48 nucleos fisicos)
laplace2d_1loop_gcc_i500,26,2,2.447234,Intel(R) Xeon(R) Gold 6252 CPU @ 2.10GHz (48 nucleos fisicos)
laplace2d_1loop_gcc_i500,26,3,2.454922,Intel(R) Xeon(R) Gold 6252 CPU @ 2.10GHz (48 nucleos fisicos)
laplace2d_1loop_gcc_i500,27,1,2.505084,Intel(R) Xeon(R) Gold 6252 CPU @ 2.10GHz (48 nucleos fisicos)
laplace2d_1loop_gcc_i500,27,2,2.476740,Intel(R) Xeon(R) Gold 6252 CPU @ 2.10GHz (48 nucleos fisicos)
laplace2d_1loop_gcc_i500,27,3,2.497633,Intel(R) Xeon(R) Gold 6252 CPU @ 2.10GHz (48 nucleos fisicos)
laplace2d_1loop_gcc_i500,28,1,2.443877,Intel(R) Xeon(R) Gold 6252 CPU @ 2.10GHz (48 nucleos fisicos)
laplace2d_1loop_gcc_i500,28,2,2.482862,Intel(R) Xeon(R) Gold 6252 CPU @ 2.10GHz (48 nucleos fisicos)
laplace2d_1loop_gcc_i500,28,3,2.575166,Intel(R) Xeon(R) Gold 6252 CPU @ 2.10GHz (48 nucleos fisicos)
laplace2d_1loop_gcc_i500,29,1,2.561293,Intel(R) Xeon(R) Gold 6252 CPU @ 2.10GHz (48 nucleos fisicos)
laplace2d_1loop_gcc_i500,29,2,2.498765,Intel(R) Xeon(R) Gold 6252 CPU @ 2.10GHz (48 nucleos fisicos)
laplace2d_1loop_gcc_i500,29,3,2.375563,Intel(R) Xeon(R) Gold 6252 CPU @ 2.10GHz (48 nucleos fisicos)
laplace2d_1loop_gcc_i500,30,1,2.461405,Intel(R) Xeon(R) Gold 6252 CPU @ 2.10GHz (48 nucleos fisicos)
laplace2d_1loop_gcc_i500,30,2,2.440703,Intel(R) Xeon(R) Gold 6252 CPU @ 2.10GHz (48 nucleos fisicos)
laplace2d_1loop_gcc_i500,30,3,2.356238,Intel(R) Xeon(R) Gold 6252 CPU @ 2.10GHz (48 nucleos fisicos)
laplace2d_1loop_gcc_i500,31,1,2.417372,Intel(R) Xeon(R) Gold 6252 CPU @ 2.10GHz (48 nucleos fisicos)
laplace2d_1loop_gcc_i500,31,2,2.342590,Intel(R) Xeon(R) Gold 6252 CPU @ 2.10GHz (48 nucleos fisicos)
laplace2d_1loop_gcc_i500,31,3,2.525870,Intel(R) Xeon(R) Gold 6252 CPU @ 2.10GHz (48 nucleos fisicos)
laplace2d_1loop_gcc_i500,32,1,2.417281,Intel(R) Xeon(R) Gold 6252 CPU @ 2.10GHz (48 nucleos fisicos)
laplace2d_1loop_gcc_i500,32,2,2.607818,Intel(R) Xeon(R) Gold 6252 CPU @ 2.10GHz (48 nucleos fisicos)
laplace2d_1loop_gcc_i500,32,3,2.583002,Intel(R) Xeon(R) Gold 6252 CPU @ 2.10GHz (48 nucleos fisicos)
laplace2d_1loop_gcc_i500,33,1,2.405656,Intel(R) Xeon(R) Gold 6252 CPU @ 2.10GHz (48 nucleos fisicos)
laplace2d_1loop_gcc_i500,33,2,2.453462,Intel(R) Xeon(R) Gold 6252 CPU @ 2.10GHz (48 nucleos fisicos)
laplace2d_1loop_gcc_i500,33,3,2.500148,Intel(R) Xeon(R) Gold 6252 CPU @ 2.10GHz (48 nucleos fisicos)
laplace2d_1loop_gcc_i500,34,1,2.540014,Intel(R) Xeon(R) Gold 6252 CPU @ 2.10GHz (48 nucleos fisicos)
laplace2d_1loop_gcc_i500,34,2,2.325413,Intel(R) Xeon(R) Gold 6252 CPU @ 2.10GHz (48 nucleos fisicos)
laplace2d_1loop_gcc_i500,34,3,2.395862,Intel(R) Xeon(R) Gold 6252 CPU @ 2.10GHz (48 nucleos fisicos)
laplace2d_1loop_gcc_i500,35,1,2.726507,Intel(R) Xeon(R) Gold 6252 CPU @ 2.10GHz (48 nucleos fisicos)
laplace2d_1loop_gcc_i500,35,2,2.435690,Intel(R) Xeon(R) Gold 6252 CPU @ 2.10GHz (48 nucleos fisicos)
laplace2d_1loop_gcc_i500,35,3,2.380988,Intel(R) Xeon(R) Gold 6252 CPU @ 2.10GHz (48 nucleos fisicos)
laplace2d_1loop_gcc_i500,36,1,2.457994,Intel(R) Xeon(R) Gold 6252 CPU @ 2.10GHz (48 nucleos fisicos)
laplace2d_1loop_gcc_i500,36,2,2.541298,Intel(R) Xeon(R) Gold 6252 CPU @ 2.10GHz (48 nucleos fisicos)
laplace2d_1loop_gcc_i500,36,3,2.377047,Intel(R) Xeon(R) Gold 6252 CPU @ 2.10GHz (48 nucleos fisicos)
