1,1,3.1415926535898393,2.060603
1,2,3.1415926535898393,2.060132
1,3,3.1415926535898393,2.062072
1,4,3.1415926535898393,2.060162
1,5,3.1415926535898393,2.061124
1,6,3.1415926535898393,2.061447
1,7,3.1415926535898393,2.058850
1,8,3.1415926535898393,2.060046
1,9,3.1415926535898393,2.059575
1,10,3.1415926535898393,2.060494
1,11,3.1415926535898393,2.060683
1,12,3.1415926535898393,2.060670
1,13,3.1415926535898393,2.058654
1,14,3.1415926535898393,2.060566
1,15,3.1415926535898393,2.060897
1,16,3.1415926535898393,2.061200
1,17,3.1415926535898393,2.060716
1,18,3.1415926535898393,2.060791
1,19,3.1415926535898393,2.060243
1,20,3.1415926535898393,2.059887
1,21,3.1415926535898393,2.060407
1,22,3.1415926535898393,2.059764
1,23,3.1415926535898393,2.060833
1,24,3.1415926535898393,2.059960
1,25,3.1415926535898393,2.060960
1,26,3.1415926535898393,2.060132
1,27,3.1415926535898393,2.061806
1,28,3.1415926535898393,2.060580
1,29,3.1415926535898393,2.061721
1,30,3.1415926535898393,2.062000
2,1,3.1415926535898540,1.039069
2,2,3.1415926535898540,1.036071
2,3,3.1415926535898540,1.036041
2,4,3.1415926535898540,1.037453
2,5,3.1415926535898540,1.035539
2,6,3.1415926535898540,1.035943
2,7,3.1415926535898540,1.036790
2,8,3.1415926535898540,1.038374
2,9,3.1415926535898540,1.036091
2,10,3.1415926535898540,1.036595
2,11,3.1415926535898540,1.036607
2,12,3.1415926535898540,1.037408
2,13,3.1415926535898540,1.035681
2,14,3.1415926535898540,1.035737
2,15,3.1415926535898540,1.036056
2,16,3.1415926535898540,1.038132
2,17,3.1415926535898540,1.035944
2,18,3.1415926535898540,1.035448
2,19,3.1415926535898540,1.035676
2,20,3.1415926535898540,1.037043
2,21,3.1415926535898540,1.035209
2,22,3.1415926535898540,1.035887
2,23,3.1415926535898540,1.037252
2,24,3.1415926535898540,1.035110
2,25,3.1415926535898540,1.035462
2,26,3.1415926535898540,1.035036
2,27,3.1415926535898540,1.038513
2,28,3.1415926535898540,1.035418
2,29,3.1415926535898540,1.036170
2,30,3.1415926535898540,1.036566
3,1,3.1415926535898304,0.709595
3,2,3.1415926535898304,0.707427
3,3,3.1415926535898309,0.696763
3,4,3.1415926535898304,0.706223
3,5,3.1415926535898304,0.706043
3,6,3.1415926535898309,0.695677
3,7,3.1415926535898309,0.695844
3,8,3.1415926535898309,0.696267
3,9,3.1415926535898309,0.697033
3,10,3.1415926535898304,0.704459
3,11,3.1415926535898304,0.705545
3,12,3.1415926535898304,0.707989
3,13,3.1415926535898304,0.707647
3,14,3.1415926535898309,0.694864
3,15,3.1415926535898304,0.707739
3,16,3.1415926535898304,0.709004
3,17,3.1415926535898309,0.693733
3,18,3.1415926535898309,0.698345
3,19,3.1415926535898309,0.700426
3,20,3.1415926535898304,0.711067
3,21,3.1415926535898304,0.709405
3,22,3.1415926535898304,0.710574
3,23,3.1415926535898304,0.707869
3,24,3.1415926535898304,0.707201
3,25,3.1415926535898304,0.703900
3,26,3.1415926535898304,0.709839
3,27,3.1415926535898304,0.705562
3,28,3.1415926535898304,0.709560
3,29,3.1415926535898304,0.706819
3,30,3.1415926535898304,0.707767
4,1,3.1415926535898255,0.548672
4,2,3.1415926535898255,0.548498
4,3,3.1415926535898255,0.548263
4,4,3.1415926535898255,0.549117
