procs,rep,pi,tempo_s
1,1,3.1415926535898389,2.351123
1,2,3.1415926535898389,2.357366
1,3,3.1415926535898389,2.356185
1,4,3.1415926535898389,2.357705
1,5,3.1415926535898389,2.357107
1,6,3.1415926535898389,2.358343
1,7,3.1415926535898389,2.352617
1,8,3.1415926535898389,2.359974
1,9,3.1415926535898389,2.360085
1,10,3.1415926535898389,2.357995
1,11,3.1415926535898389,2.357755
1,12,3.1415926535898389,2.356976
1,13,3.1415926535898389,2.357889
1,14,3.1415926535898389,2.356822
1,15,3.1415926535898389,2.356889
1,16,3.1415926535898389,2.357661
1,17,3.1415926535898389,2.357756
1,18,3.1415926535898389,2.359141
1,19,3.1415926535898389,2.360041
1,20,3.1415926535898389,2.358801
1,21,3.1415926535898389,2.358826
1,22,3.1415926535898389,2.358252
1,23,3.1415926535898389,2.359796
1,24,3.1415926535898389,2.359380
1,25,3.1415926535898389,2.358104
1,26,3.1415926535898389,2.359593
1,27,3.1415926535898389,2.357512
1,28,3.1415926535898389,2.359346
1,29,3.1415926535898389,2.357447
1,30,3.1415926535898389,2.358507
2,1,3.1415926535896617,1.187508
2,2,3.1415926535896617,1.188700
2,3,3.1415926535896617,1.187833
2,4,3.1415926535896617,1.184240
2,5,3.1415926535896617,1.186964
2,6,3.1415926535896617,1.186044
2,7,3.1415926535896617,1.185673
2,8,3.1415926535896617,1.183543
2,9,3.1415926535896617,1.187027
2,10,3.1415926535896617,1.185928
2,11,3.1415926535896617,1.186999
2,12,3.1415926535896617,1.187601
2,13,3.1415926535896617,1.186415
2,14,3.1415926535896617,1.185533
2,15,3.1415926535896617,1.187318
2,16,3.1415926535896617,1.185749
2,17,3.1415926535896617,1.185863
2,18,3.1415926535896617,1.188733
2,19,3.1415926535896617,1.187355
2,20,3.1415926535896617,1.188418
2,21,3.1415926535896617,1.185006
2,22,3.1415926535896617,1.186455
2,23,3.1415926535896617,1.187650
2,24,3.1415926535896617,1.187198
2,25,3.1415926535896617,1.186118
2,26,3.1415926535896617,1.186438
2,27,3.1415926535896617,1.188884
2,28,3.1415926535896617,1.186274
2,29,3.1415926535896617,1.183167
2,30,3.1415926535896617,1.185716
3,1,3.1415926535898153,0.815717
3,2,3.1415926535898153,0.814701
3,3,3.1415926535898153,0.811676
3,4,3.1415926535898153,0.810028
3,5,3.1415926535898153,0.810830
3,6,3.1415926535898153,0.814674
3,7,3.1415926535898153,0.815706
3,8,3.1415926535898153,0.812662
3,9,3.1415926535898153,0.808219
3,10,3.1415926535898153,0.818940
3,11,3.1415926535898153,0.823028
3,12,3.1415926535898153,0.809297
3,13,3.1415926535898153,0.814617
3,14,3.1415926535898153,0.817087
3,15,3.1415926535898153,0.815948
3,16,3.1415926535898153,0.808362
3,17,3.1415926535898153,0.817857
3,18,3.1415926535898153,0.814990
3,19,3.1415926535898153,0.814842
3,20,3.1415926535898153,0.810064
3,21,3.1415926535898153,0.812725
3,22,3.1415926535898153,0.819823
3,23,3.1415926535898153,0.810401
3,24,3.1415926535898153,0.813149
3,25,3.1415926535898153,0.813817
3,26,3.1415926535898153,0.810189
3,27,3.1415926535898153,0.810168
3,28,3.1415926535898153,0.808120
3,29,3.1415926535898153,0.808399
3,30,3.1415926535898153,0.808771
4,1,3.1415926535898393,0.611353
4,2,3.1415926535898393,0.607513
4,3,3.1415926535898393,0.612107
4,4,3.1415926535898393,0.616368
4,5,3.1415926535898393,0.612675
4,6,3.1415926535898393,0.610857
4,7,3.1415926535898393,0.608327
4,8,3.1415926535898393,0.610304
4,9,3.1415926535898393,0.612044
4,10,3.1415926535898393,0.609458
4,11,3.1415926535898393,0.611365
4,12,3.1415926535898393,0.615712
4,13,3.1415926535898393,0.612495
4,14,3.1415926535898393,0.609355
4,15,3.1415926535898393,0.613439
4,16,3.1415926535898393,0.611257
4,17,3.1415926535898393,0.612462
4,18,3.1415926535898393,0.616689
4,19,3.1415926535898393,0.612164
4,20,3.1415926535898393,0.612420
4,21,3.1415926535898393,0.616425
4,22,3.1415926535898393,0.612809
4,23,3.1415926535898393,0.609830
4,24,3.1415926535898393,0.619482
4,25,3.1415926535898393,0.616284
4,26,3.1415926535898393,0.613658
4,27,3.1415926535898393,0.613910
4,28,3.1415926535898393,0.614010
4,29,3.1415926535898393,0.612854
4,30,3.1415926535898393,0.611594
5,1,3.1415926535899121,0.491188
5,2,3.1415926535899121,0.498690
5,3,3.1415926535899121,0.494933
5,4,3.1415926535899121,0.494772
5,5,3.1415926535899121,0.494003
5,6,3.1415926535899121,0.489481
5,7,3.1415926535899121,0.497350
5,8,3.1415926535899121,0.495774
5,9,3.1415926535899121,0.496012
5,10,3.1415926535899121,0.493792
5,11,3.1415926535899121,0.490904
5,12,3.1415926535899121,0.495055
5,13,3.1415926535899121,0.494312
5,14,3.1415926535899121,0.495318
5,15,3.1415926535899121,0.491599
5,16,3.1415926535899121,0.493937
5,17,3.1415926535899121,0.494735
5,18,3.1415926535899121,0.494204
5,19,3.1415926535899121,0.493368
5,20,3.1415926535899121,0.491032
5,21,3.1415926535899121,0.494275
5,22,3.1415926535899121,0.495965
5,23,3.1415926535899121,0.494717
5,24,3.1415926535899121,0.492615
5,25,3.1415926535899121,0.493011
5,26,3.1415926535899121,0.494846
5,27,3.1415926535899121,0.491980
5,28,3.1415926535899121,0.493035
5,29,3.1415926535899121,0.495158
5,30,3.1415926535899121,0.494693
6,1,3.1415926535898020,0.412980
6,2,3.1415926535898020,0.411806
6,3,3.1415926535898020,0.413708
6,4,3.1415926535898020,0.414143
6,5,3.1415926535898020,0.411973
6,6,3.1415926535898020,0.413279
6,7,3.1415926535898020,0.411651
6,8,3.1415926535898020,0.411047
6,9,3.1415926535898020,0.410176
6,10,3.1415926535898020,0.414421
6,11,3.1415926535898020,0.411356
6,12,3.1415926535898020,0.412218
6,13,3.1415926535898020,0.415180
6,14,3.1415926535898020,0.413056
6,15,3.1415926535898020,0.412787
6,16,3.1415926535898020,0.411856
6,17,3.1415926535898020,0.415142
6,18,3.1415926535898020,0.412892
6,19,3.1415926535898020,0.412058
6,20,3.1415926535898020,0.413356
6,21,3.1415926535898020,0.413205
6,22,3.1415926535898020,0.410096
6,23,3.1415926535898020,0.411923
6,24,3.1415926535898020,0.411673
6,25,3.1415926535898020,0.413838
6,26,3.1415926535898020,0.408983
6,27,3.1415926535898020,0.412587
6,28,3.1415926535898020,0.412222
6,29,3.1415926535898020,0.413568
6,30,3.1415926535898020,0.411382
