threads,rep,pi,tempo_s
4,3,3.1415926535898251,0.377539
4,4,3.1415926535898251,0.375971
4,5,3.1415926535898251,0.374755
4,6,3.1415926535898255,0.375364
4,7,3.1415926535898251,0.377467
4,8,3.1415926535898255,0.375542
4,9,3.1415926535898251,0.376876
4,10,3.1415926535898251,0.375443
4,11,3.1415926535898251,0.374992
4,12,3.1415926535898251,0.374053
4,13,3.1415926535898251,0.377923
4,14,3.1415926535898251,0.376748
4,15,3.1415926535898251,0.376226
4,16,3.1415926535898251,0.376654
4,17,3.1415926535898251,0.375705
4,18,3.1415926535898251,0.374847
4,19,3.1415926535898251,0.375552
4,20,3.1415926535898251,0.376611
4,21,3.1415926535898251,0.376104
4,22,3.1415926535898251,0.378080
4,23,3.1415926535898251,0.376459
4,24,3.1415926535898255,0.376519
4,25,3.1415926535898251,0.376032
4,26,3.1415926535898251,0.376877
4,27,3.1415926535898251,0.375849
4,28,3.1415926535898251,0.376205
4,29,3.1415926535898251,0.377174
4,30,3.1415926535898251,0.376497
5,1,3.1415926535897607,0.303694
5,2,3.1415926535897607,0.304255
5,3,3.1415926535897607,0.304038
5,4,3.1415926535897607,0.303808
5,5,3.1415926535897607,0.305100
5,6,3.1415926535897607,0.304862
5,7,3.1415926535897607,0.304067
5,8,3.1415926535897607,0.304644
5,9,3.1415926535897607,0.304061
5,10,3.1415926535897607,0.304636
5,11,3.1415926535897607,0.304563
5,12,3.1415926535897607,0.304632
5,13,3.1415926535897607,0.304292
5,14,3.1415926535897607,0.304472
5,15,3.1415926535897607,0.304496
5,16,3.1415926535897607,0.303888
5,17,3.1415926535897607,0.303571
5,18,3.1415926535897607,0.304222
5,19,3.1415926535897607,0.304605
5,20,3.1415926535897607,0.304316
5,21,3.1415926535897607,0.304158
5,22,3.1415926535897607,0.304895
5,23,3.1415926535897607,0.304292
5,24,3.1415926535897607,0.304008
5,25,3.1415926535897607,0.304224
5,26,3.1415926535897607,0.304820
5,27,3.1415926535897607,0.304162
5,28,3.1415926535897607,0.303723
5,29,3.1415926535897607,0.304851
5,30,3.1415926535897607,0.304332
6,1,3.1415926535898713,0.254683
6,2,3.1415926535898713,0.254742
6,3,3.1415926535898713,0.254011
6,4,3.1415926535898713,0.254298
6,5,3.1415926535898713,0.262015
6,6,3.1415926535898713,0.254373
6,7,3.1415926535898713,0.254437
6,8,3.1415926535898713,0.254455
6,9,3.1415926535898713,0.253819
6,10,3.1415926535898713,0.254787
6,11,3.1415926535898713,0.254717
6,12,3.1415926535898713,0.254353
6,13,3.1415926535898713,0.254209
6,14,3.1415926535898713,0.253978
6,15,3.1415926535898713,0.254163
6,16,3.1415926535898713,0.254004
6,17,3.1415926535898713,0.254935
6,18,3.1415926535898713,0.254310
6,19,3.1415926535898713,0.253498
6,20,3.1415926535898713,0.253977
6,21,3.1415926535898713,0.254578
6,22,3.1415926535898713,0.254092
6,23,3.1415926535898713,0.253937
6,24,3.1415926535898713,0.253680
6,25,3.1415926535898713,0.254048
6,26,3.1415926535898713,0.254202
6,27,3.1415926535898713,0.253882
6,28,3.1415926535898713,0.254440
6,29,3.1415926535898713,0.254283
6,30,3.1415926535898713,0.266809
