threads,n,tempo_s
1,28,0.000547
1,30,0.001488
1,32,0.003778
1,34,0.009028
1,36,0.024065
1,40,0.167158
1,44,1.175360
2,28,0.000562
2,30,0.001056
2,32,0.002668
2,34,0.006261
2,36,0.016341
2,40,0.125788
2,44,0.806064
4,28,0.000783
4,30,0.001222
4,32,0.002330
4,34,0.004948
4,36,0.016295
4,40,0.106117
4,44,0.642125
8,28,0.004414
8,30,0.010222
8,32,0.012801
8,34,0.009041
8,36,0.017602
8,40,0.111940
8,44,0.465815
